RAW IMAGES SUMMARY – BioPlatform Caldas
Generated: 2026-03-06 02:00:32 UTC
==========================================================================================

Total especies:     754
Total imágenes:     43,917 (originales: 43,917, augmentadas: 0)
Umbral:             20
Aptas (≥20):       749
No aptas (<20):     5

DISTRIBUCIÓN POR RANGO
----------------------------------------
     1-9:     0
   10-19:     5
   20-49:    30
   50-99:   658
    100+:    61

DISTRIBUCIÓN POR REINO
------------------------------------------------------------------------------------------
Reino           │ Especies │ Imágenes │ Original │  Augment │    ≥20
------------------------------------------------------------------------------------------
Animalia        │      544 │    33591 │    33591 │        0 │    542
Fungi           │        7 │      272 │      272 │        0 │      5
Plantae         │      203 │    10054 │    10054 │        0 │    202

DETALLE POR ESPECIE (ordenado por: count_desc)
------------------------------------------------------------------------------------------
    # │ Especie                                       │ Reino        │  Total │   Orig │   Aug
------------------------------------------------------------------------------------------
  138 │ Ortalis columbiana                            │ Animalia     │     54 │     54 │     0 ✓
  139 │ Kleinothraupis atropileus                     │ Animalia     │     54 │     54 │     0 ✓
  140 │ Grallaria alvarezi                            │ Animalia     │     53 │     53 │     0 ✓
  141 │ Heliconius cydno                              │ Animalia     │     52 │     52 │     0 ✓
  142 │ Bubulcus ibis                                 │ Animalia     │     52 │     52 │     0 ✓
  143 │ Cnemoscopus rubrirostris                      │ Animalia     │     52 │     52 │     0 ✓
  144 │ Cistothorus platensis                         │ Animalia     │     52 │     52 │     0 ✓
  145 │ Phytolacca bogotensis                         │ Plantae      │     52 │     52 │     0 ✓
  146 │ Leptosittaca branickii                        │ Animalia     │     51 │     51 │     0 ✓
  147 │ Araneus granadensis                           │ Animalia     │     50 │     50 │     0 ✓
  148 │ Eriophora edax                                │ Animalia     │     50 │     50 │     0 ✓
  149 │ Gasteracantha cancriformis                    │ Animalia     │     50 │     50 │     0 ✓
  150 │ Micrathena lucasi                             │ Animalia     │     50 │     50 │     0 ✓
  151 │ Trichonephila clavipes                        │ Animalia     │     50 │     50 │     0 ✓
  152 │ Tityus forcipula                              │ Animalia     │     50 │     50 │     0 ✓
  153 │ Phoneutria depilata                           │ Animalia     │     50 │     50 │     0 ✓
  154 │ Linothele sericata                            │ Animalia     │     50 │     50 │     0 ✓
  155 │ Kukulcania hibernalis                         │ Animalia     │     50 │     50 │     0 ✓
  156 │ Chrysso nigriceps                             │ Animalia     │     50 │     50 │     0 ✓
  157 │ Cupiennius coccineus                          │ Animalia     │     50 │     50 │     0 ✓
  158 │ Abracris flavolineata                         │ Animalia     │     50 │     50 │     0 ✓
  159 │ Opaon varicolor                               │ Animalia     │     50 │     50 │     0 ✓
  160 │ Rhytidochrota risaraldae                      │ Animalia     │     50 │     50 │     0 ✓
  161 │ Bombus funebris                               │ Animalia     │     50 │     50 │     0 ✓
  162 │ Bombus hortulanus                             │ Animalia     │     50 │     50 │     0 ✓
  163 │ Bombus pauloensis                             │ Animalia     │     50 │     50 │     0 ✓
  164 │ Bombus rubicundus                             │ Animalia     │     50 │     50 │     0 ✓
  165 │ Eulaema cingulata                             │ Animalia     │     50 │     50 │     0 ✓
