gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
5153038205	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/491213419/original.jpeg	https://www.inaturalist.org/photos/491213419					2025-04-09T00:41:19Z	auk1967		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	auk1967
5153037152	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/491858933/original.jpeg	https://www.inaturalist.org/photos/491858933					2025-04-09T19:28:25Z	auk1967		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	auk1967
5153037087	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/491220612/original.jpeg	https://www.inaturalist.org/photos/491220612					2025-04-09T06:38:15Z	auk1967		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	auk1967
5153036835	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/460022633/original.jpg	https://www.inaturalist.org/photos/460022633					2024-11-20T16:24:17Z	cmmteixeira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cmmteixeira
5153036206	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/499031996/original.jpeg	https://www.inaturalist.org/photos/499031996					2025-04-28T18:23:34Z	Lepidoptera Colombiana 🇨🇴		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Lepidoptera Colombiana 🇨🇴
5153036206	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/499031948/original.jpeg	https://www.inaturalist.org/photos/499031948					2025-04-28T18:22:59Z	Lepidoptera Colombiana 🇨🇴		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Lepidoptera Colombiana 🇨🇴
5153033591	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/475569011/original.jpeg	https://www.inaturalist.org/photos/475569011					2025-02-08T14:58:46Z	Benoît Segerer		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Benoît Segerer
5153029864	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/462123221/original.jpg	https://www.inaturalist.org/photos/462123221					2024-11-17T18:15:47Z	cmmteixeira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cmmteixeira
5153029864	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/462123233/original.jpg	https://www.inaturalist.org/photos/462123233					2024-11-17T18:15:51Z	cmmteixeira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cmmteixeira
5153029861	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461546161/original.jpg	https://www.inaturalist.org/photos/461546161					2024-11-18T20:22:24Z	cmmteixeira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	cmmteixeira
