species,precision,recall,f1_score,support
Geranoaetus_melanoleucus,0.6667,0.4,0.5,5
Glossoloma_schultzei,1.0,0.8,0.8889,5
Golofa_eacus,0.7143,1.0,0.8333,5
Golofa_porteri,1.0,0.7778,0.875,9
Gonatodes_albogularis,0.6667,0.4,0.5,5
Gonora_hyelosioides,1.0,1.0,1.0,5
Grallaria_alvarezi,1.0,1.0,1.0,6
Grallaria_milleri,0.9412,1.0,0.9697,16
Grallaria_nuchalis,1.0,1.0,1.0,8
Grallaria_quitensis,1.0,1.0,1.0,7
Grallaria_ruficapilla,1.0,1.0,1.0,15
Grallaria_rufocinerea,1.0,1.0,1.0,14
Grallaria_saturata,1.0,1.0,1.0,15
Grallaricula_lineifrons,1.0,1.0,1.0,15
Grallaricula_nana,1.0,1.0,1.0,12
Graphita_griphe,1.0,0.6,0.75,5
Guzmania_multiflora,0.7143,1.0,0.8333,5
Guzmania_triangularis,1.0,0.4,0.5714,5
Gymnetis_pantherina,1.0,0.8,0.8889,5
Hafferia_immaculata,1.0,1.0,1.0,5
Halictus_ligatus,0.7143,1.0,0.8333,5
Hapalopsittaca_amazonina,1.0,0.8,0.8889,5
Harmonia_axyridis,0.8333,1.0,0.9091,5
Hedychium_coronarium,1.0,1.0,1.0,5
Heliangelus_exortis,0.7368,0.9333,0.8235,15
Heliconia_bihai,1.0,1.0,1.0,5
Heliconia_burleana,1.0,0.8,0.8889,5
Heliconia_griggsiana,0.8,0.8,0.8,5
Heliconia_latispatha,0.7143,1.0,0.8333,5
Heliconius_charithonia,1.0,1.0,1.0,5
Heliconius_clysonymus,1.0,1.0,1.0,5
Heliconius_cydno,0.75,1.0,0.8571,6
Heliconius_doris,1.0,0.8,0.8889,5
Heliconius_eleuchia,1.0,0.4,0.5714,5
Heliconius_erato,1.0,0.8571,0.9231,7
Heliodoxa_imperatrix,1.0,0.6,0.75,5
Heliodoxa_rubinoides,1.0,1.0,1.0,12
Heliomaster_longirostris,1.0,0.8,0.8889,5
Hellmayrea_gularis,0.875,1.0,0.9333,7
Hemidactylus_frenatus,0.8,0.8,0.8,5
Hemithraupis_guira,0.8333,1.0,0.9091,5
Hermeuptychia_harmonia,1.0,1.0,1.0,5
Herpetotheres_cachinnans,0.7143,1.0,0.8333,5
Herpothallon_rubrocinctum,1.0,1.0,1.0,5
Heterogomphus_mniszechi,0.8333,1.0,0.9091,5
Heterogomphus_schoenherri,1.0,1.0,1.0,7
Hylophilus_semibrunneus,1.0,0.8,0.8889,5
Hypanartia_kefersteini,1.0,1.0,1.0,5
Hypanartia_lethe,1.0,0.8,0.8889,5
Hypopyrrhus_pyrohypogaster,1.0,1.0,1.0,5
Icterus_chrysater,1.0,1.0,1.0,8
Icterus_nigrogularis,1.0,0.8,0.8889,5
Iguana_iguana,0.8571,0.75,0.8,8
Imantodes_cenchoa,1.0,0.6,0.75,5
Impatiens_walleriana,1.0,0.4,0.5714,5
Ipomoea_batatas,1.0,0.4,0.5714,5
Ipomoea_indica,0.75,0.6,0.6667,5
Ipomoea_purpurea,1.0,1.0,1.0,5
Iridosornis_porphyrocephalus,1.0,1.0,1.0,5
Iridosornis_rufivertex,0.8333,1.0,0.9091,5
Ithomia_iphianassa,1.0,1.0,1.0,5
Jacana_jacana,1.0,0.8,0.8889,5
Janatella_fellula,1.0,1.0,1.0,5
Juglans_neotropica,1.0,0.4,0.5714,5
Junonia_evarete,1.0,1.0,1.0,5
Kinosternon_leucostomum,0.8333,1.0,0.9091,5
Kleinothraupis_atropileus,1.0,0.8333,0.9091,6
Kohleria_affinis,1.0,0.875,0.9333,8
Kohleria_inaequalis,0.8333,1.0,0.9091,5
Kohleria_spicata,0.6667,0.8,0.7273,5
Kohleria_warszewiczii,0.8333,1.0,0.9091,5
Kukulcania_hibernalis,1.0,1.0,1.0,5
Lafresnaya_lafresnayi,1.0,1.0,1.0,10
Langucys_nigropuncta,1.0,1.0,1.0,5
