================================================================================
  CLASSIFICATION REPORT - BioPlatform Caldas CNN
================================================================================

  Overall Accuracy:   0.8520 (85.2%)
  Top 5 Accuracy: 0.9453 (94.5%)
  Total Test Samples: 4,386
  Number of Classes:  719

────────────────────────────────────────────────────────────────────────────────
  F1-SCORE THRESHOLD SUMMARY  (F1 = harmonic mean of Precision & Recall)
────────────────────────────────────────────────────────────────────────────────
  F1 >= 0.9               =   288 species
  F1 >= 0.7 & < 0.9       =   331 species
  F1 >= 0.5 & < 0.7       =    85 species
  F1 < 0.5                =    15 species
────────────────────────────────────────────────────────────────────────────────

────────────────────────────────────────────────────────────────────────────────
  ▸ F1 >= 0.9  (288 species)
────────────────────────────────────────────────────────────────────────────────
  Species                                   Precision     Recall         F1    Support
  Mesothen_nomia                               0.8333     1.0000     0.9091          5
  Miconia_aeruginosa                           0.8333     1.0000     0.9091          5
  Miconia_asperrima                            0.8333     1.0000     0.9091          5
  Miconia_salicifolia                          0.8333     1.0000     0.9091          5
  Miconia_trichocalyx                          0.8333     1.0000     0.9091          5
  Micrathena_lucasi                            1.0000     1.0000     1.0000          5
  Mimoniades_nurscia                           1.0000     1.0000     1.0000          5
  Mniotilta_varia                              0.8333     1.0000     0.9091          5
  Morpho_sulkowskyi                            1.0000     1.0000     1.0000          5
  Myiothlypis_fulvicauda                       0.8333     1.0000     0.9091          5
  Mythimna_unipuncta                           1.0000     1.0000     1.0000          5
  Necyria_bellona                              1.0000     1.0000     1.0000          5
  Nyctibius_griseus                            1.0000     1.0000     1.0000          5
  Nymphargus_grandisonae                       1.0000     1.0000     1.0000          5
  Ochthoeca_cinnamomeiventris                  1.0000     1.0000     1.0000          5
  Ochthoeca_diadema                            0.9167     0.9167     0.9167         12
  Ochthoeca_frontalis                          1.0000     1.0000     1.0000          5
  Ochthoeca_fumicolor                          0.8333     1.0000     0.9091          5
  Oncidium_cultratum                           0.8333     1.0000     0.9091          5
  Oncidium_lehmannii                           1.0000     1.0000     1.0000          5
  Oressinoma_typhla                            0.8333     1.0000     0.9091          5
  Oxypogon_stuebelii                           1.0000     1.0000     1.0000          7
  Oxysternon_conspicillatum                    1.0000     1.0000     1.0000          5
  Pachystachys_lutea                           1.0000     1.0000     1.0000          5
