================================================================================
  CLASSIFICATION REPORT - BioPlatform Caldas CNN
================================================================================

  Overall Accuracy:   0.8739 (87.4%)
  Top 5 Accuracy: 0.9514 (95.1%)
  Total Test Samples: 4,386
  Number of Classes:  719

────────────────────────────────────────────────────────────────────────────────
  F1-SCORE THRESHOLD SUMMARY  (F1 = harmonic mean of Precision & Recall)
────────────────────────────────────────────────────────────────────────────────
  F1 >= 0.9               =   337 species
  F1 >= 0.7 & < 0.9       =   300 species
  F1 >= 0.5 & < 0.7       =    71 species
  F1 < 0.5                =    11 species
────────────────────────────────────────────────────────────────────────────────

────────────────────────────────────────────────────────────────────────────────
  ▸ F1 >= 0.9  (337 species)
────────────────────────────────────────────────────────────────────────────────
  Species                                   Precision     Recall         F1    Support
  Aglaiocercus_kingii                          0.8571     0.8000     0.8276         15
  Altinote_ozomene                             0.7500     0.8571     0.8000          7
  Amazona_mercenaria                           0.8000     0.8000     0.8000          5
  Ampelion_rufaxilla                           0.8000     0.8000     0.8000          5
  Ancognatha_vulgaris                          1.0000     0.8000     0.8889          5
  Andinia_pilosella                            1.0000     0.8000     0.8889          5
  Anolis_antonii                               0.7778     0.8750     0.8235          8
  Anolis_quimbaya                              1.0000     0.6000     0.7500          5
  Anolis_ventrimaculatus                       0.8000     0.8000     0.8000          5
  Anthanassa_drusilla                          1.0000     0.8000     0.8889          5
  Anthracothorax_nigricollis                   1.0000     0.6000     0.7500          5
  Apis_mellifera                               0.9091     0.8333     0.8696         12
  Ara_severus                                  1.0000     0.8000     0.8889          5
  Aratinga_pertinax                            1.0000     0.8000     0.8889          5
  Araucaria_columnaris                         1.0000     0.8000     0.8889          5
  Arundina_graminifolia                        0.8000     0.8000     0.8000          5
  Atlapetes_schistaceus                        0.8667     0.8667     0.8667         15
  Atractus_obesus                              1.0000     0.8000     0.8889          5
  Baccharis_latifolia                          0.5556     1.0000     0.7143          5
  Bangsia_melanochlamys                        0.8000     0.8000     0.8000          5
  Basiliscus_galeritus                         1.0000     0.8000     0.8889          5
  Begonia_lehmannii                            0.8000     0.8000     0.8000          5
  Begonia_umbellata                            0.8333     0.8333     0.8333          6
  Besleria_cinnabarina                         1.0000     0.8000     0.8889          5
  Bocconia_frutescens                          1.0000     0.8000     0.8889          5
  Bolborhynchus_ferrugineifrons                0.7143     1.0000     0.8333          5
  Bombus_funebris                              0.8000     0.8000     0.8000          5
  Bombus_rubicundus                            0.6667     0.8000     0.7273          5
  Bothriechis_schlegelii                       1.0000     0.8000     0.8889          5
  Bubulcus_ibis                                1.0000     0.6667     0.8000          6
  Burmeistera_bullatifolia                     1.0000     0.8000     0.8889          5
  Buteo_brachyurus                             1.0000     0.6000     0.7500          5
  Buteo_platypterus                            0.7500     0.9000     0.8182         10
  Butorides_striata                            0.8000     0.8000     0.8000          5
  Cacicus_chrysonotus                          0.6667     0.8000     0.7273          5
  Callianthe_megapotamica                      0.8000     0.8000     0.8000          5
  Callianthe_picta                             0.8000     0.8000     0.8000          5
  Campephilus_pollens                          1.0000     0.8000     0.8889          5
  Cardellina_canadensis                        1.0000     0.8000     0.8889          5
  Castilia_eranites                            1.0000     0.8000     0.8889          5
  Catamenia_homochroa                          1.0000     0.6000     0.7500          5
  Catamenia_inornata                           0.6667     0.8000     0.7273          5
  Cathartes_aura                               1.0000     0.8000     0.8889          5
  Catharus_fuscater                            0.8000     0.8000     0.8000          5
  Cecropia_telealba                            0.8000     0.8000     0.8000          5
  Centropogon_ferrugineus                      1.0000     0.8000     0.8889          5
  Centropogon_foetidus                         0.8000     0.8000     0.8000          5
  Centropogon_leucophyllus                     1.0000     0.8000     0.8889          5
  Ceroxylon_quindiuense                        0.6250     1.0000     0.7692          5
  Chaetocercus_mulsant                         0.8000     0.6667     0.7273         12
  Chaetogastra_gracilis                        1.0000     0.8000     0.8889          5
  Chaetogastra_mollis                          0.8000     0.8000     0.8000          5
  Chamaedorea_linearis                         1.0000     0.8000     0.8889          5
  Chamaedorea_pinnatifrons                     1.0000     0.8000     0.8889          5
  Chamaepetes_goudotii                         1.0000     0.7857     0.8800         14
  Chloroceryle_americana                       0.7143     1.0000     0.8333          5
  Choeradodis_rhombicollis                     0.6667     0.8000     0.7273          5
  Chrysomus_icterocephalus                     1.0000     0.8000     0.8889          5
  Cinnycerthia_olivascens                      1.0000     0.8000     0.8889          5
  Cistothorus_platensis                        0.8000     0.6667     0.7273          6
