scientific_name,sources,in_cnn_dataset,sib_id,threat_status,thumbnail_url
Disterigma alaternoides,sib_caldas,False,56cfe1a93c16479905cba80f,,https://inaturalist-open-data.s3.amazonaws.com/photos/178498477/original.jpeg
Dixella,sib_caldas,False,56de0e3f83c45700544e3bf4,,https://inaturalist-open-data.s3.amazonaws.com/photos/123750983/large.jpg
Donacobius atricapilla,dataset,True,,,
Doxocopa cyane,dataset,True,,,
Dracula chimaera,sib_caldas,False,56df938483c45700544e3c95,Preocupación menor (LC),https://inaturalist-open-data.s3.amazonaws.com/photos/175983371/original.jpg
Dracula iricolor,dataset,True,,,
Drimys granadensis,sib_caldas,False,56d047233c16479905cba815,,https://inaturalist-open-data.s3.amazonaws.com/photos/174627565/original.jpg
Dryas iulia,dataset,True,,,
Drymonia lanceolata,dataset,True,,,
Dryocopus lineatus,dataset,True,,,
Dubusia taeniata,dataset,True,,,
Egretta caerulea,sib_caldas,False,56c67865f0106c67230e73c7,Preocupación menor (LC),https://upload.wikimedia.org/wikipedia/commons/9/93/Egretta_caerulea%2C_Little_Blue_Heron.jpg
Egretta thula,dataset|sib_caldas,True,56c67e45f0106c67230e73cb,,http://upload.wikimedia.org/wikipedia/commons/8/81/Egretta_thula1.jpg
Eichhornia crassipes,sib_caldas,False,56e7831683c45700544e4085,,
Eira barbara,dataset,True,,,
Elaeis oleifera,sib_caldas,False,56709135f289f5a40c0cd2f8,En peligro (EN),https://inaturalist-open-data.s3.amazonaws.com/photos/162674977/original.jpeg
Elaenia chiriquensis,sib_caldas,False,56e7a01c83c45700544e4257,Preocupación menor (LC),http://upload.wikimedia.org/wikipedia/commons/d/d6/Lesser_Elaenia.jpg
Elaenia flavogaster,dataset|sib_caldas,True,56c68377f0106c67230e73cd,Preocupación menor (LC),http://upload.wikimedia.org/wikipedia/commons/e/ee/Flickr_-_Dario_Sanches_-_GUARACAVA-DE-BARRIGA-AMARELA_%28Elaenia_flavogaster%29.jpg
Elaenia frantzii,dataset|sib_caldas,True,56c68927f0106c67230e73ce,Preocupación menor (LC),http://upload.wikimedia.org/wikipedia/commons/2/21/Elaenia_frantzii.jpg
Elanoides forficatus,dataset,True,,,
Elanus leucurus,sib_caldas,False,56c6909bf0106c67230e73cf,Preocupación menor (LC),http://upload.wikimedia.org/wikipedia/commons/f/f8/Elanus_leucurus_3.jpg
Eleutherodactylus fallax,sib_caldas,False,56d4b0683c16479905cba8ac,En peligro (EN),https://inaturalist-open-data.s3.amazonaws.com/photos/39312570/original.jpg
Elleanthus aurantiacus,dataset,True,,,
Elysius atrata,dataset,True,,,
Empidonax alnorum,sib_caldas,False,56c698aaf0106c67230e73d3,Preocupación menor (LC),http://upload.wikimedia.org/wikipedia/commons/0/00/Empidonax_alnorum_CT2.jpg
Empidonax traillii,sib_caldas,False,56c69ccff0106c67230e73d5,Preocupación menor (LC),https://inaturalist-open-data.s3.amazonaws.com/photos/124170222/original.jpeg
Enchisthenes hartii,sib_caldas,False,59e0cfaa5f36934344302d9e,Preocupación menor (LC),https://static.inaturalist.org/photos/9097842/original.jpg
Endrosis sarcitrella,dataset,True,,,
Ensifera ensifera,dataset|sib_caldas,True,56c742d4f0106c67230e73e6,Preocupación menor (LC),https://upload.wikimedia.org/wikipedia/commons/4/4a/Sword-billed_Hummingbird_RWD2.jpg
Epidendrum ampelomelanoxeros,sib_caldas,False,5b5b2815f0d3bfe03057402c,,https://images.phylopic.org/images/bb459b30-2370-4b7f-a1f9-f0d836aa35d1/raster/534x570.png
Epidendrum cleistocoleum,dataset,True,,,
Epidendrum cottoniiflorum,dataset,True,,,
Epidendrum cylindrostachys,dataset,True,,,
Epidendrum fimbriatum,dataset|sib_caldas,True,56e19c1183c45700544e3d1c,Preocupación menor (LC),https://inaturalist-open-data.s3.amazonaws.com/photos/179033036/large.jpeg
Epidendrum melinanthum,dataset,True,,,
Epidendrum porphyreum,dataset,True,,,
Epidendrum posadarum,dataset,True,,,
Epilobium denticulatum,sib_caldas,False,56d77d903c16479905cba928,,https://inaturalist-open-data.s3.amazonaws.com/photos/110556090/original.jpg
Epiphile chrysites,dataset,True,,,
Epiphile epimenes,dataset,True,,,
Epiphyllum phyllanthus,sib_caldas,False,5fe6a431e1444ba32ca3105e,Preocupación menor (LC),https://inaturalist-open-data.s3.amazonaws.com/photos/164382509/original.jpeg
Equisetum bogotense,dataset,True,,,
Equus asinus,sib_caldas,False,56c4fd8df0106c67230e7393,,https://upload.wikimedia.org/wikipedia/commons/c/c2/Equus_hemionus_kulan.JPG
Equus caballus,sib_caldas,False,56c506e3f0106c67230e7395,,https://inaturalist-open-data.s3.amazonaws.com/photos/165624735/original.jpg
Erato vulcanica,dataset|sib_caldas,True,56d7a0353c16479905cba92a,,https://inaturalist-open-data.s3.amazonaws.com/photos/109679737/original.jpeg
Eresia clio,dataset,True,,,
Erinnyis ello,dataset,True,,,
Eriocnemis derbyi,dataset,True,,,
Eriocnemis mosquera,dataset,True,,,
